CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,naive_bayes_level_months_inactive_12_mon_1,naive_bayes_level_months_inactive_12_mon_2
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979,1800,19179,0.906,1178,27,0.929,0.086,5.70E-05,0.99994
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283,1430,853,2.316,1741,27,0.588,0.626,6.08E-05,0.99994
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548,2020,528,2.357,1719,27,1.7,0.793,0.0001546,0.99985
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300,1330,23970,1.072,837,15,2,0.053,0.00016471,0.99984
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789,1706,2083,1.047,1609,42,0.68,0.45,0.00027008,0.99973
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159,1196,22963,0.712,1111,24,1,0.05,0.00032436,0.99968
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174,1951,1223,0.766,1243,29,0.611,0.615,2.76E-05,0.99997
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235,797,2438,0.541,1493,32,1,0.246,0.00013405,0.99987
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38,6,1,3,9364,618,8746,0.554,1099,27,0.8,0.066,0.00012583,0.99987
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41,3,3,0,21592,1676,19916,1.097,1873,52,0.529,0.078,9.96E-05,0.9999
713779908,Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue,36,6,3,2,2189,1666,523,0.343,1287,36,0.636,0.761,0.00027008,0.99973
721022433,Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue,36,5,1,2,7577,2480,5097,0.435,1409,35,0.167,0.327,7.97E-05,0.99992
709879458,Existing Customer,54,F,3,Doctorate,Married,Unknown,Blue,46,2,2,3,1900,1376,524,0.89,1881,45,0.607,0.724,0.00028744,0.99971
770632758,Existing Customer,50,F,4,Doctorate,Single,Unknown,Blue,36,2,3,2,2521,1608,913,0.587,1328,33,0.571,0.638,0.00027297,0.99973
779078733,Existing Customer,55,M,2,Doctorate,Married,$60K - $80K,Blue,36,3,4,3,16427,1682,14745,0.631,1579,36,1.118,0.102,0.00052896,0.99947
721333233,Existing Customer,40,M,4,Doctorate,Divorced,$60K - $80K,Blue,34,4,2,3,23138,1727,21411,0.693,1612,39,1.438,0.075,0.00029051,0.99971
710665533,Existing Customer,42,F,5,Doctorate,Married,Unknown,Blue,23,4,2,2,24602,1660,22942,0.588,1337,44,0.76,0.067,0.00017004,0.99983
717049533,Existing Customer,39,F,3,Doctorate,Unknown,$40K - $60K,Blue,28,5,3,0,7262,1466,5796,0.512,1438,28,0.556,0.202,9.96E-05,0.9999
710955633,Existing Customer,54,F,3,Doctorate,Single,Less than $40K,Blue,42,6,1,0,9256,1999,7257,0.812,1446,37,0.762,0.216,3.05E-05,0.99997
712027683,Existing Customer,47,F,2,Doctorate,Married,Less than $40K,Blue,35,3,2,2,5544,1184,4360,0.85,1336,38,0.652,0.214,0.00016471,0.99984
716027208,Existing Customer,47,M,4,Doctorate,Married,$60K - $80K,Blue,36,4,1,1,19665,706,18959,1.317,1110,58,0.349,0.036,5.04E-05,0.99995
808964433,Existing Customer,46,F,4,Doctorate,Divorced,Less than $40K,Blue,41,4,1,1,8693,1378,7315,0.799,1594,45,0.452,0.159,5.04E-05,0.99995
816596583,Existing Customer,45,M,2,Doctorate,Married,$80K - $120K,Blue,40,6,3,1,11710,693,11017,0.914,1749,50,0.429,0.059,0.00015697,0.99984
715041333,Existing Customer,39,M,3,Doctorate,Married,$60K - $80K,Blue,29,3,1,3,3537,2517,1020,1.021,1605,43,0.344,0.712,0.0001391,0.99986
714451833,Existing Customer,45,F,1,Doctorate,Single,Less than $40K,Blue,36,6,2,2,1438.3,0,1438.3,0.597,1431,34,0.545,0,0.0001546,0.99985
818248383,Existing Customer,33,M,2,Doctorate,Married,$60K - $80K,Blue,28,3,3,3,4049,0,4049,0.898,1742,35,1.5,0,0.00043772,0.99956
780326883,Existing Customer,53,M,2,Doctorate,Married,$60K - $80K,Blue,40,3,3,3,11262,1435,9827,0.735,2165,61,0.649,0.127,0.00043772,0.99956
719459358,Existing Customer,52,M,1,Doctorate,Married,$120K +,Blue,41,4,2,2,33864,989,32875,1.219,1751,48,0.92,0.029,0.0001546,0.99985
816089433,Existing Customer,49,M,4,Doctorate,Married,$60K - $80K,Blue,44,3,1,1,3343,1581,1762,1.146,1545,31,0.824,0.473,5.04E-05,0.99995
717090183,Existing Customer,60,M,1,Doctorate,Married,$120K +,Blue,50,6,1,2,21697,2144,19553,0.654,2117,48,0.655,0.099,7.48E-05,0.99993
710722908,Existing Customer,53,M,3,Doctorate,Single,$120K +,Blue,36,3,1,0,30883,1694,29189,0.86,1267,23,0.533,0.055,3.05E-05,0.99997
771706308,Existing Customer,46,M,2,Doctorate,Single,$80K - $120K,Blue,34,4,3,2,14310,694,13616,0.558,1254,34,0.478,0.048,0.00026028,0.99974
780598383,Existing Customer,35,M,3,Doctorate,Single,$40K - $60K,Blue,23,4,3,2,2148,1545,603,0.682,2167,65,0.512,0.719,0.00027008,0.99973
708249708,Existing Customer,48,F,1,Doctorate,Married,Less than $40K,Blue,39,3,3,3,4844,1576,3268,0.809,1489,48,0.6,0.325,0.00041087,0.99959
716462658,Existing Customer,47,M,4,Doctorate,Single,$80K - $120K,Blue,36,3,1,1,18037,0,18037,0.74,1387,36,0.333,0,5.04E-05,0.99995
721129383,Existing Customer,53,F,1,Doctorate,Married,Less than $40K,Blue,36,3,1,2,3128,2517,611,0.696,2361,42,0.826,0.805,7.48E-05,0.99993
717295683,Existing Customer,50,M,0,Doctorate,Single,$80K - $120K,Blue,38,5,2,2,3460,1881,1579,0.622,1546,35,1.059,0.544,0.00014134,0.99986
789605658,Existing Customer,42,F,1,Doctorate,Married,$40K - $60K,Blue,35,4,3,2,2985,2355,630,0.602,1065,27,0.588,0.789,0.00024431,0.99976
715708308,Existing Customer,54,F,3,Doctorate,Married,$40K - $60K,Blue,39,3,1,3,2112,1594,518,1.204,1338,29,2.222,0.755,0.0001391,0.99986
778971408,Existing Customer,36,M,4,Doctorate,Married,$60K - $80K,Blue,17,5,2,4,2803,1848,955,0.614,1968,64,0.524,0.659,0.00049554,0.9995
737925558,Existing Customer,64,M,0,Doctorate,Married,$40K - $60K,Blue,56,3,2,2,4234,1893,2341,0.585,1439,42,0.355,0.447,0.00014134,0.99986
715127208,Existing Customer,48,M,3,Doctorate,Divorced,$120K +,Blue,36,4,3,2,34516,2517,31999,0.697,1699,48,0.846,0.073,0.00027008,0.99973
709426608,Existing Customer,56,M,1,Doctorate,Married,$60K - $80K,Blue,46,5,2,4,5248,1816,3432,0.696,2305,45,0.731,0.346,0.00044353,0.99956
780581508,Existing Customer,58,F,1,Doctorate,Single,$40K - $60K,Silver,47,5,2,4,16677,1590,15087,0.885,1410,37,0.609,0.095,0.00040077,0.9996
772794108,Existing Customer,46,F,3,Doctorate,Single,Less than $40K,Blue,36,5,1,4,2201,651,1550,0.825,3165,65,0.585,0.296,0.0002373,0.99976
756013833,Existing Customer,57,M,3,Doctorate,Married,$80K - $120K,Blue,50,3,2,3,4522,1861,2661,0.957,1806,38,0.727,0.412,0.00028744,0.99971
738749733,Existing Customer,57,F,4,Doctorate,Married,Unknown,Blue,47,4,3,3,7345,1814,5531,0.472,1390,30,0.25,0.247,0.00045905,0.99954
814833408,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,51,3,3,4,6036,1409,4627,0.56,1741,45,0.364,0.233,0.00074656,0.99925
711048783,Existing Customer,41,M,4,Doctorate,Married,$80K - $120K,Blue,29,3,3,3,33405,0,33405,0.535,1345,34,0.619,0,0.00045905,0.99954
716565258,Existing Customer,37,M,3,Doctorate,Single,$80K - $120K,Blue,36,5,2,4,12830,0,12830,0.774,2526,54,0.588,0,0.0004903,0.99951
715042608,Existing Customer,39,F,2,Doctorate,Married,Unknown,Blue,36,5,2,4,8058,791,7267,1.787,2742,42,2,0.098,0.00047251,0.99953
789079758,Existing Customer,44,M,4,Doctorate,Unknown,$120K +,Blue,32,3,2,3,34516,1356,33160,1.169,1531,48,0.655,0.039,0.00029051,0.99971
710749458,Existing Customer,64,F,0,Doctorate,Married,Less than $40K,Blue,53,4,1,3,5462,1864,3598,0.67,1523,35,0.667,0.341,0.00011504,0.99988
808750458,Existing Customer,32,M,1,Doctorate,Single,$60K - $80K,Blue,27,5,3,3,10029,606,9423,0.727,2192,58,0.657,0.06,0.00041087,0.99959
719692983,Existing Customer,36,M,2,Doctorate,Married,$60K - $80K,Blue,30,3,3,4,4934,1504,3430,1.52,2747,42,0.448,0.305,0.00074656,0.99925
715216908,Existing Customer,48,M,4,Doctorate,Single,$80K - $120K,Blue,36,6,3,4,18102,1381,16721,0.513,1486,32,0.143,0.076,0.00078294,0.99922
716362008,Existing Customer,37,M,2,Doctorate,Married,$40K - $60K,Blue,29,3,3,2,1808,1009,799,0.796,1744,35,0.944,0.558,0.00026028,0.99974
717599283,Existing Customer,57,M,0,Doctorate,Married,$60K - $80K,Blue,36,3,1,2,5335,1206,4129,0.69,1844,49,0.75,0.226,6.84E-05,0.99993
716529258,Existing Customer,42,M,4,Doctorate,Married,$80K - $120K,Blue,27,5,3,4,31864,0,31864,1.009,1591,35,0.75,0,0.00078294,0.99922
720241758,Existing Customer,55,M,0,Doctorate,Married,$80K - $120K,Blue,36,3,1,3,8276,1671,6605,0.359,1409,25,0.25,0.202,0.00011504,0.99988
717678408,Existing Customer,61,F,1,Doctorate,Married,$40K - $60K,Blue,47,4,2,4,8633,2517,6116,0.681,2066,51,0.457,0.292,0.00044353,0.99956
714618333,Existing Customer,39,F,2,Doctorate,Married,Unknown,Blue,36,3,2,4,9843,2154,7689,0.733,1402,35,0.667,0.219,0.00047251,0.99953
769095558,Existing Customer,59,M,1,Doctorate,Single,$60K - $80K,Blue,53,3,2,2,9055,1560,7495,0.696,1755,45,0.8,0.172,0.0001546,0.99985
790102008,Existing Customer,37,M,3,Doctorate,Single,$60K - $80K,Blue,30,6,1,3,5924,1023,4901,0.765,3305,80,0.778,0.173,0.0001391,0.99986
819202533,Existing Customer,57,M,1,Doctorate,Married,$80K - $120K,Blue,52,3,2,3,10378,1540,8838,0.547,1306,32,0.28,0.148,0.00026001,0.99974
718627458,Existing Customer,43,F,3,Doctorate,Married,Unknown,Blue,38,3,4,2,1947,0,1947,0.838,2119,52,1,0,0.00032639,0.99967
719826333,Existing Customer,34,F,2,Doctorate,Single,Less than $40K,Blue,13,5,1,2,1438.3,0,1438.3,0.946,2557,67,0.763,0,7.97E-05,0.99992
716670783,Existing Customer,52,F,3,Doctorate,Single,Unknown,Blue,36,3,2,1,24703,1085,23618,0.998,4776,63,0.575,0.044,0.00010307,0.9999
765824058,Existing Customer,46,M,4,Doctorate,Married,$80K - $120K,Blue,39,3,3,1,5106,1539,3567,0.907,3784,74,0.609,0.301,0.00016463,0.99984
805522758,Existing Customer,44,F,1,Doctorate,Divorced,Less than $40K,Blue,39,5,2,4,2311,1830,481,1.289,1701,33,1.357,0.792,0.00044353,0.99956
773442258,Existing Customer,57,M,1,Doctorate,Married,$80K - $120K,Blue,51,5,2,2,8571,1616,6955,0.6,1397,28,0.647,0.189,0.0001546,0.99985
719596908,Existing Customer,56,F,5,Doctorate,Married,Unknown,Blue,48,4,2,2,11281,2118,9163,0.534,1255,30,0.304,0.188,0.00017004,0.99983
711625683,Existing Customer,46,M,4,Doctorate,Married,$120K +,Blue,36,3,2,5,3104,862,2242,1.057,2781,74,0.682,0.278,0.00085723,0.99914
717301908,Existing Customer,54,F,2,Doctorate,Married,Less than $40K,Blue,46,3,3,3,3312,1624,1688,0.573,1973,55,0.667,0.49,0.00043772,0.99956
789050883,Existing Customer,33,F,2,Doctorate,Single,Unknown,Blue,21,4,3,4,5297,0,5297,0.779,2655,62,0.55,0,0.00074656,0.99925
774437583,Existing Customer,55,M,1,Doctorate,Married,$60K - $80K,Blue,49,6,2,4,4597,2442,2155,0.512,1504,38,0.357,0.531,0.00044353,0.99956
708423933,Existing Customer,51,M,2,Doctorate,Single,$40K - $60K,Blue,40,3,2,0,6103,0,6103,0.532,3203,64,0.829,0,6.08E-05,0.99994
789952158,Existing Customer,34,F,1,Doctorate,Married,Unknown,Blue,25,4,3,3,2318,2069,249,1.399,2689,57,0.781,0.893,0.00041087,0.99959
778942233,Existing Customer,60,F,0,Doctorate,Married,Less than $40K,Blue,45,5,2,4,1438.3,648,790.3,0.477,1267,27,1.077,0.451,0.0004055,0.99959
780094008,Existing Customer,55,M,3,Doctorate,Married,$120K +,Blue,40,4,3,1,12875,1119,11756,0.401,1624,40,0.429,0.087,0.00016289,0.99984
712112733,Existing Customer,33,M,2,Doctorate,Single,$40K - $60K,Blue,25,5,2,2,9371,1541,7830,0.781,2518,67,0.971,0.164,0.00016471,0.99984
716823408,Existing Customer,65,M,0,Doctorate,Single,Unknown,Blue,56,3,2,2,28410,1608,26802,0.913,2278,77,1.139,0.057,0.00014134,0.99986
815001108,Existing Customer,48,M,2,Doctorate,Single,Less than $40K,Blue,43,3,3,2,5945,1685,4260,0.9,3598,67,0.718,0.283,0.00026028,0.99974
715077483,Existing Customer,47,F,3,Doctorate,Married,Less than $40K,Blue,36,4,3,4,1438.3,772,666.3,1.451,2250,40,0.905,0.537,0.00077466,0.99923
813213558,Existing Customer,53,F,1,Doctorate,Single,Less than $40K,Blue,48,4,3,3,2267,1469,798,0.716,3709,64,0.684,0.648,0.00041087,0.99959
773364483,Existing Customer,45,F,4,Doctorate,Unknown,Unknown,Silver,39,4,1,2,34516,1298,33218,0.757,1906,39,0.773,0.038,7.55E-05,0.99992
772303458,Existing Customer,62,F,0,Doctorate,Married,$40K - $60K,Blue,51,3,3,2,3377,948,2429,0.461,1407,44,0.467,0.281,0.00022336,0.99978
778973658,Existing Customer,55,M,0,Doctorate,Married,$60K - $80K,Blue,36,4,6,4,4980,906,4074,0.721,2273,66,0.886,0.182,0.00050583,0.99949
721475133,Existing Customer,54,F,1,Doctorate,Single,Unknown,Blue,36,6,3,4,26053,829,25224,0.669,2768,70,0.628,0.032,0.00070078,0.9993
778724058,Existing Customer,63,M,0,Doctorate,Single,$40K - $60K,Blue,49,5,4,3,5905,726,5179,0.85,3982,65,0.857,0.123,0.00045394,0.99955
796336833,Existing Customer,51,M,3,Doctorate,Married,$80K - $120K,Blue,45,5,2,4,32096,0,32096,0.766,2619,69,0.917,0,0.0004903,0.99951
709897983,Existing Customer,35,F,2,Doctorate,Married,$40K - $60K,Blue,24,5,2,3,2655,1527,1128,0.715,1921,26,0.444,0.575,0.00027701,0.99972
712060158,Existing Customer,35,M,0,Doctorate,Single,$60K - $80K,Blue,18,6,2,3,2598,1645,953,0.765,2483,59,0.903,0.633,0.00023771,0.99976
809984133,Existing Customer,37,M,2,Doctorate,Single,$120K +,Blue,32,3,3,5,32056,1887,30169,0.831,2730,68,0.7,0.059,0.0012912,0.99871
799731033,Existing Customer,34,F,2,Doctorate,Single,Less than $40K,Blue,28,3,3,2,1438.3,0,1438.3,0.892,3044,91,0.896,0,0.00026028,0.99974
778148283,Existing Customer,48,M,2,Doctorate,Single,$120K +,Blue,41,5,2,1,20148,1084,19064,0.79,3921,74,0.542,0.054,9.93E-05,0.9999
719363283,Existing Customer,59,F,0,Doctorate,Single,Less than $40K,Blue,36,3,1,2,1438.3,0,1438.3,0.691,1904,47,0.382,0,6.84E-05,0.99993
804610908,Existing Customer,49,F,2,Doctorate,Married,Less than $40K,Blue,44,4,3,0,3397,1962,1435,0.483,3295,66,0.61,0.578,9.60E-05,0.9999
717602733,Existing Customer,47,M,3,Doctorate,Single,Less than $40K,Blue,35,4,3,2,1842,0,1842,0.726,4165,67,0.634,0,0.00027008,0.99973
718934058,Existing Customer,36,M,2,Doctorate,Single,$40K - $60K,Blue,26,4,3,2,2845,2517,328,0.686,2396,51,0.5,0.885,0.00026028,0.99974
789338583,Existing Customer,42,M,2,Doctorate,Married,$80K - $120K,Blue,32,4,2,2,26222,1073,25149,1.288,1988,30,0.579,0.041,0.00016471,0.99984
716154258,Existing Customer,48,M,4,Doctorate,Unknown,$60K - $80K,Silver,38,3,2,2,32658,1482,31176,0.941,2023,37,0.542,0.045,0.00015608,0.99984
790174608,Existing Customer,37,M,1,Doctorate,Single,$80K - $120K,Blue,30,6,3,2,19300,1181,18119,0.764,2660,70,0.795,0.061,0.00024431,0.99976
807349158,Existing Customer,36,M,4,Doctorate,Divorced,$120K +,Blue,31,4,3,4,34516,1491,33025,0.93,2243,60,0.935,0.043,0.00078294,0.99922
715468083,Existing Customer,40,F,2,Doctorate,Married,Unknown,Silver,36,3,2,4,34516,1686,32830,0.562,3146,66,0.65,0.049,0.00042696,0.99957
715992558,Existing Customer,52,M,2,Doctorate,Married,$80K - $120K,Blue,38,4,2,2,12878,1628,11250,0.542,1968,59,0.735,0.126,0.00016471,0.99984
718785483,Existing Customer,38,M,1,Doctorate,Single,$80K - $120K,Silver,29,6,3,3,34516,1435,33081,1.13,4238,85,0.809,0.042,0.00037126,0.99963
708849858,Existing Customer,44,M,3,Doctorate,Single,$120K +,Blue,35,4,1,5,14028,1435,12593,0.57,3683,73,0.738,0.102,0.00041058,0.99959
713687508,Existing Customer,59,M,1,Doctorate,Single,$60K - $80K,Blue,49,5,2,4,9944,1606,8338,0.62,3159,69,0.568,0.162,0.00044353,0.99956
720776508,Existing Customer,44,F,2,Doctorate,Single,$40K - $60K,Blue,25,4,3,2,4210,0,4210,1.224,4248,65,0.857,0,0.00026028,0.99974
716363658,Existing Customer,51,M,2,Doctorate,Single,$120K +,Blue,36,4,2,5,25873,582,25291,0.769,3920,84,0.647,0.022,0.00081741,0.99918
789125733,Existing Customer,38,F,4,Doctorate,Married,Less than $40K,Blue,26,4,2,4,4002,1402,2600,0.579,2114,53,0.514,0.35,0.00049554,0.9995
711762408,Existing Customer,43,M,2,Doctorate,Divorced,$40K - $60K,Blue,34,4,1,2,2243,0,2243,0.697,4023,63,0.75,0,7.97E-05,0.99992
716497908,Existing Customer,49,F,1,Doctorate,Married,Unknown,Blue,36,3,1,2,8519,0,8519,0.873,3698,65,0.625,0,7.48E-05,0.99993
804437658,Existing Customer,42,F,3,Doctorate,Married,Less than $40K,Blue,36,4,2,1,9778,2154,7624,0.5,3413,66,0.692,0.22,0.00010307,0.9999
714857508,Existing Customer,44,F,4,Doctorate,Married,Unknown,Blue,36,5,2,4,8667,1775,6892,0.729,3939,69,0.533,0.205,0.00049554,0.9995
719513733,Existing Customer,48,M,3,Doctorate,Married,$80K - $120K,Blue,41,3,3,4,8739,0,8739,0.715,4276,69,0.769,0,0.00077466,0.99923
